"species","colour","cluster","cluster_int"
"Ceramium.virgatum","#50A315","C",3
"Cladophora.sericea","#50A315","C",3
"Dumontia.contorta","#50A315","C",3
"Callithamnion.corymbosum","#50A315","C",3
"Chaetomorpha.melagonium","#50A315","C",3
"Membranoptera.alata","#50A315","C",3
"Polysiphonia.elongata","#50A315","C",3
"Ahnfeltia.plicata","#50A315","C",3
"Bryopsis.hypnoides","#50A315","C",3
"Furcellaria.lumbricalis","#009ADE","B",2
"Ceramium.tenuicorne","#009ADE","B",2
"Ectocarpus.Pylaiella","#009ADE","B",2
"Ecrobia.ventrosa","#009ADE","B",2
"Gammarus.oceanicus","#009ADE","B",2
"Theodoxus.fluviatilis","#009ADE","B",2
"Dictyosiphon.foeniculaceus","#009ADE","B",2
"Cyanophthalma.obscura","#009ADE","B",2
"Neomysis.integer","#009ADE","B",2
"Battersia.arctica","#009ADE","B",2
"Eudesme.virescens","#009ADE","B",2
"Gaillona.rosea","#009ADE","B",2
"Rhodochorton.purpureum","#009ADE","B",2
"Cladophora.rupestris","#009ADE","B",2
"Elachista.fucicola","#009ADE","B",2
"Urospora.penicilliformis","#00AD9A","A",1
"Chara.connivens","#00AD9A","A",1
"Rhizoclonium.riparium","#00AD9A","A",1
"Gammarellus.homari","#00AD9A","A",1
"Metridium.senile","#00AD9A","A",1
"Molgula.manhattensis","#00AD9A","A",1
"Cerastoderma.edule","#00AD9A","A",1
"Ophelia.rathkei","#00AD9A","A",1
"Pusillina.inconspicua","#00AD9A","A",1
"Apherusa.bispinosa","#00AD9A","A",1
"Musculus.discors","#00AD9A","A",1
"Stictyosiphon.tortilis","#00AD9A","A",1
"Alkmaria.romijni","#00AD9A","A",1
"Chorda.filum","#00AD9A","A",1
"Fucus.vesiculosus.radicans","#00AD9A","A",1
"Chara.canescens","#00AD9A","A",1
"Ruppia.maritima","#00AD9A","A",1
"Ruppia.cirrhosa","#00AD9A","A",1
"Zannichellia.palustris","#00AD9A","A",1
"Myriophyllum.spicatum","#00AD9A","A",1
"Chara.baltica","#00AD9A","A",1
"Stuckenia.pectinata","#00AD9A","A",1
"Heterotanais.oerstedii","#00AD9A","A",1
"Leathesia.marina","#00AD9A","A",1
"Chaetomorpha.linum","#00AD9A","A",1
"Zostera.marina","#00AD9A","A",1
"Ranunculus.peltatus.peltatus","#00AD9A","A",1
"Ceratophyllum.demersum","#00AD9A","A",1
"Monostroma.balticum","#00AD9A","A",1
"Chara.horrida","#00AD9A","A",1
"Schoenoplectus.lacustris","#00AD9A","A",1
"Zannichellia.major","#00AD9A","A",1
"Bolboschoenus.maritimus","#00AD9A","A",1
"Lemna.minor","#00AD9A","A",1
"Juncus.gerardii","#00AD9A","A",1
"Triglochin.maritima","#00AD9A","A",1
"Eleocharis.parvula","#00AD9A","A",1
"Eleocharis.uniglumis","#00AD9A","A",1
"Ulva.prolifera","#00AD9A","A",1
